CODIGO_POSTAL;NOMBRE_POBLACION;NOMBRE_MUNICIPIO;NOMBRE_PROVINCIA;NOMBRE_COMUNIDAD;COD_PROVINCIA;COD_MUNICIPIO
01013;ABECHUCO;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01013;BETOYO;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01110;SANTA CRUZ DE CAMPEZO;CAMPEZO/KANPEZU;ALAVA;PAIS VASCO;1;17
01117;ORBISO;CAMPEZO/KANPEZU;ALAVA;PAIS VASCO;1;17
01117;OTEO;CAMPEZO/KANPEZU;ALAVA;PAIS VASCO;1;17
01117;ALDA;HARANA/VALLE DE ARANA;ALAVA;PAIS VASCO;1;56
01117;CONTRASTA;HARANA/VALLE DE ARANA;ALAVA;PAIS VASCO;1;56
01117;SAN VICENTE DE ARANA;HARANA/VALLE DE ARANA;ALAVA;PAIS VASCO;1;56
01117;ULLIVARRI-ARANA;HARANA/VALLE DE ARANA;ALAVA;PAIS VASCO;1;56
01117;VALLE DE ARANA;HARANA/VALLE DE ARANA;ALAVA;PAIS VASCO;1;56
01118;ANGOSTINA;BERNEDO;ALAVA;PAIS VASCO;1;16
01118;BERNEDO;BERNEDO;ALAVA;PAIS VASCO;1;16
01118;VILLAFRIA;BERNEDO;ALAVA;PAIS VASCO;1;16
01118;CAMPEZO;CAMPEZO/KANPEZU;ALAVA;PAIS VASCO;1;17
01118;LAGRÁN;LAGRÁN;ALAVA;PAIS VASCO;1;30
01118;VILLAVERDE;LAGRÁN;ALAVA;PAIS VASCO;1;30
01118;BAJAURI;CONDADO DE TREVIÑO;BURGOS;CASTILLA Y LEON;9;109
01119;NAVARRETE;BERNEDO;ALAVA;PAIS VASCO;1;16
01119;URTURI;BERNEDO;ALAVA;PAIS VASCO;1;16
01119;OBECURI;CONDADO DE TREVIÑO;BURGOS;CASTILLA Y LEON;9;109
01120;ARRAIA-MAEZTU;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01120;MAESTU;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01128;ATAURI;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01128;AZACETA;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01128;VIRGALA MAYOR;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01128;VIRGALA MENOR;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01128;BERROCI;BERNEDO;ALAVA;PAIS VASCO;1;16
01128;QUINTANA;BERNEDO;ALAVA;PAIS VASCO;1;16
01128;SAN ROMAN DE CAMPEZO/DURRUMA KANPEZU;BERNEDO;ALAVA;PAIS VASCO;1;16
01128;ANTOÑANA;CAMPEZO/KANPEZU;ALAVA;PAIS VASCO;1;17
01128;BUJANDA;CAMPEZO/KANPEZU;ALAVA;PAIS VASCO;1;17
01129;ITURRIETA;AGURAIN/SALVATIERRA;ALAVA;PAIS VASCO;1;51
01129;ALECHA;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;APELLANIZ;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;ARENAZA;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;CICUJANO;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;CORRES;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;IBISATE;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;LEORZA;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;MUSITU;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;ONRAITA;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;ROITEGUI;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01129;SABANDO;ARRAIA-MAEZTU;ALAVA;PAIS VASCO;1;37
01130;MURGUIA;ZUIA;ALAVA;PAIS VASCO;1;63
01138;ACOSTA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;BERRICANO;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;BURUAGA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;CESTAFE;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;ZIGOITIA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;DISEMINADOS DE CIGOITIA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;ECHAGUEN;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;ERIBE;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;GOPEGUI;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;LARRINOA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;LETONA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;MANURGA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;MURUA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;OLANO;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;ONDATEGUI;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01138;ZAITEGUI;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01139;ALTUBE;ZUIA;ALAVA;PAIS VASCO;1;63
01139;AMEZAGA DE ZUYA;ZUIA;ALAVA;PAIS VASCO;1;63
01139;APERREGUI;ZUIA;ALAVA;PAIS VASCO;1;63
01139;DOMAIQUIA;ZUIA;ALAVA;PAIS VASCO;1;63
01139;GUILLERNA;ZUIA;ALAVA;PAIS VASCO;1;63
01139;JUGO;ZUIA;ALAVA;PAIS VASCO;1;63
01139;LUQUIANO;ZUIA;ALAVA;PAIS VASCO;1;63
01139;MARQUINA;ZUIA;ALAVA;PAIS VASCO;1;63
01139;SARRIA;ZUIA;ALAVA;PAIS VASCO;1;63
01139;VITORIANO;ZUIA;ALAVA;PAIS VASCO;1;63
01139;ZARATE;ZUIA;ALAVA;PAIS VASCO;1;63
01139;ZUYA;ZUIA;ALAVA;PAIS VASCO;1;63
01140;APODACA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01140;ETXABARRI-IBIÑA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01140;MENDAROZQUETA;ZIGOITIA;ALAVA;PAIS VASCO;1;18
01150;BARAMBIO;AMURRIO;ALAVA;PAIS VASCO;1;2
01150;CIORROGA;ZUIA;ALAVA;PAIS VASCO;1;63
01160;IBARRA;ARAMAIO;ALAVA;PAIS VASCO;1;3
01165;OLAETA;ARAMAIO;ALAVA;PAIS VASCO;1;3
01169;ARAMAIO;ARAMAIO;ALAVA;PAIS VASCO;1;3
01169;AREJOLA;ARAMAIO;ALAVA;PAIS VASCO;1;3
01169;AZCOAGA;ARAMAIO;ALAVA;PAIS VASCO;1;3
01169;BARAJUEN;ARAMAIO;ALAVA;PAIS VASCO;1;3
01169;ECHAGUEN;ARAMAIO;ALAVA;PAIS VASCO;1;3
01169;GANZAGA;ARAMAIO;ALAVA;PAIS VASCO;1;3
01169;UNCELLA;ARAMAIO;ALAVA;PAIS VASCO;1;3
01169;URIBARRI;ARAMAIO;ALAVA;PAIS VASCO;1;3
01170;LEGUTIANO;LEGUTIO;ALAVA;PAIS VASCO;1;58
01190;ALI;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01191;TRESPUENTES;IRUÑA OKA/IRUÑA DE OCA;ALAVA;PAIS VASCO;1;901
01191;ASTEGUIETA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01191;ESTARRONA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01191;GOBEO;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01191;HUETO-ABAJO;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01191;HUETO-ARRIBA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01191;MARTIODA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01191;MENDOZA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01191;ULLIBARRI-VIYA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01192;ZURBANO;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01192;ARBULO;ELBURGO/BURGELU;ALAVA;PAIS VASCO;1;21
01192;ARGOMANIZ;ELBURGO/BURGELU;ALAVA;PAIS VASCO;1;21
01192;AYUA;ELBURGO/BURGELU;ALAVA;PAIS VASCO;1;21
01192;ELBURGO/BURGELU;ELBURGO/BURGELU;ALAVA;PAIS VASCO;1;21
01192;GACETA;ELBURGO/BURGELU;ALAVA;PAIS VASCO;1;21
01192;ARCAUTE;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01192;CERIO;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01192;ELORRIAGA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01192;ILARRAZA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01192;JUNGUITU;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01192;LUBIANO;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01192;MATAUCO;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01192;OREITIA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01192;ULLIBARRI-ARRAZUA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01193;EGUILETA;ALEGRIA-DULANTZI;ALAVA;PAIS VASCO;1;1
01193;HIJONA;ELBURGO/BURGELU;ALAVA;PAIS VASCO;1;21
01193;ERENCHUN;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01193;TROCONIZ;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01193;ABERASTURI;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01193;ANDOLLU;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01193;ARCAYA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01193;ARGANDOÑA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01193;ASCARZA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01193;VILLAFRANCA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;IZARZA;BERNEDO;ALAVA;PAIS VASCO;1;16
01194;OKINA;BERNEDO;ALAVA;PAIS VASCO;1;16
01194;ARECHAVALETA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;BERROSTEGUIETA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;BOLIVAR;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;CASTILLO;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;ESQUIVEL;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;GAMIZ;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;GARDELEGUI;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;LASARTE;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;MENDIOLA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;MONASTERIOGUREN;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;OTAZU;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01194;ULLIBARRI DE LOS OLLEROS;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01195;VILLODAS;IRUÑA OKA/IRUÑA DE OCA;ALAVA;PAIS VASCO;1;901
01195;ARIYEZ;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01195;ARMENTIA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01195;CRISPIJANA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01195;GOMECHA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01195;LERMANDA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01195;MARGARITA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01195;SUBIJANA DE ALAVA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01195;ZUAZO DE VITORIA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01195;ZUMELZU;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;ANTEZANA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;ARANGUIZ;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;ARRIAGA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;ARTAZA DE FORONDA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;FORONDA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;GUEREYA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;LEGARDA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;LOPIDANA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;MANDOJANA;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;MENDIGUREN;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01196;YURRE;VITORIA-GASTEIZ;ALAVA;PAIS VASCO;1;59
01200;SALVATIERRA;AGURAIN/SALVATIERRA;ALAVA;PAIS VASCO;1;51
01206;AUDICANA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;BARRUNDIA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;DALLO;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;ELGUEA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;ETURA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;ETXABARRI-URTUPIÑA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;GUEVARA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;MARIETA-LARRINZAR;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;MATURANA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;MENDIJUR;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;OZAETA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01206;ARRIETA;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01206;EZQUERECOCHA;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01206;GACEO;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01207;ACILU;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01207;ALAIZA;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01207;GAUNA;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01207;GUEREYU;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01207;IRURAIZ-GAUNA;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01207;JAUREGUI;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01207;LANGARICA;IRURAIZ-GAUNA;ALAVA;PAIS VASCO;1;27
01207;ADANA;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01207;CHINCHETRU;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01207;ULLIVARRI-JAUREGUI;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01208;HERMUA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01208;LARREA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01208;ARRIOLA;ASPARRENA;ALAVA;PAIS VASCO;1;9
01208;GORDOA;ASPARRENA;ALAVA;PAIS VASCO;1;9
01208;ASPURU;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01208;GALARRETA;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01208;LUZURIAGA;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01208;NARVAJA;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01208;ORDOYANA;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01208;ZALDUONDO;ZALDUONDO;ALAVA;PAIS VASCO;1;61
01209;ALANGUA;AGURAIN/SALVATIERRA;ALAVA;PAIS VASCO;1;51
01209;ARRIZALA;AGURAIN/SALVATIERRA;ALAVA;PAIS VASCO;1;51
01209;EGUILEOR;AGURAIN/SALVATIERRA;ALAVA;PAIS VASCO;1;51
01209;OPACUA;AGURAIN/SALVATIERRA;ALAVA;PAIS VASCO;1;51
01209;HEREDIA;ARRATZUA-UBARRUNDIA;ALAVA;PAIS VASCO;1;8
01209;OCARIZ;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01209;ZUAZO DE SAN MILLAN;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01210;SOBRON;LANTARÓN;ALAVA;PAIS VASCO;1;902
01211;PIPAON;LAGRÁN;ALAVA;PAIS VASCO;1;30
01211;BAROJA;PEÑACERRADA-URIZAHARRA;ALAVA;PAIS VASCO;1;44
01211;LOZA;PEÑACERRADA-URIZAHARRA;ALAVA;PAIS VASCO;1;44
01211;MONTORIA;PEÑACERRADA-URIZAHARRA;ALAVA;PAIS VASCO;1;44
01211;PAYUETA;PEÑACERRADA-URIZAHARRA;ALAVA;PAIS VASCO;1;44
01211;PEYACERRADA;PEÑACERRADA-URIZAHARRA;ALAVA;PAIS VASCO;1;44
01211;MORAZA;CONDADO DE TREVIÑO;BURGOS;CASTILLA Y LEON;9;109
01212;SANTA CRUZ DEL FIERRO;BERANTEVILLA;ALAVA;PAIS VASCO;1;14
01212;BERGANZO;ZAMBRANA;ALAVA;PAIS VASCO;1;62
01212;OCIO;ZAMBRANA;ALAVA;PAIS VASCO;1;62
01212;ZAMBRANA;ZAMBRANA;ALAVA;PAIS VASCO;1;62
01213;SAN MIGUEL;ERRIBERAGOITIA/RIBERA ALTA;ALAVA;PAIS VASCO;1;46
01213;VILLABEZANA;ERRIBERAGOITIA/RIBERA ALTA;ALAVA;PAIS VASCO;1;46
01213;CAICEDO DE YUSO;LANTARÓN;ALAVA;PAIS VASCO;1;902
01213;COMUNION;LANTARÓN;ALAVA;PAIS VASCO;1;902
01213;LECIYANA DEL CAMINO;LANTARÓN;ALAVA;PAIS VASCO;1;902
01213;MOLINILLA;LANTARÓN;ALAVA;PAIS VASCO;1;902
01213;SALCEDO;LANTARÓN;ALAVA;PAIS VASCO;1;902
01213;TURISO;LANTARÓN;ALAVA;PAIS VASCO;1;902
01213;ZUBILLAGA;LANTARÓN;ALAVA;PAIS VASCO;1;902
01213;IGAY;ERRIBERABEITIA;ALAVA;PAIS VASCO;1;47
01213;MELLEDES;ERRIBERABEITIA;ALAVA;PAIS VASCO;1;47
01213;QUINTANILLA DE LA RIBERA;ERRIBERABEITIA;ALAVA;PAIS VASCO;1;47
01213;RIBABELLOSA;ERRIBERABEITIA;ALAVA;PAIS VASCO;1;47
01213;RIBERA BAJA;ERRIBERABEITIA;ALAVA;PAIS VASCO;1;47
01214;VILLAMBROSA;ERRIBERAGOITIA/RIBERA ALTA;ALAVA;PAIS VASCO;1;46
01214;ALCEDO;LANTARÓN;ALAVA;PAIS VASCO;1;902
01214;BERGUENDA;LANTARÓN;ALAVA;PAIS VASCO;1;902
01214;FONTECHA;LANTARÓN;ALAVA;PAIS VASCO;1;902
01214;LANTARON;LANTARÓN;ALAVA;PAIS VASCO;1;902
01214;PUENTELARRA;LANTARÓN;ALAVA;PAIS VASCO;1;902
01216;ARLUZEA;BERNEDO;ALAVA;PAIS VASCO;1;16
01216;MARKINEZ;BERNEDO;ALAVA;PAIS VASCO;1;16
01216;URARTE;BERNEDO;ALAVA;PAIS VASCO;1;16
01216;FAIDO;PEÑACERRADA-URIZAHARRA;ALAVA;PAIS VASCO;1;44
01218;LACORZANA;ARMIÑÓN;ALAVA;PAIS VASCO;1;6
01218;BERANTEVILLA;BERANTEVILLA;ALAVA;PAIS VASCO;1;14
01218;ESCANZANA;BERANTEVILLA;ALAVA;PAIS VASCO;1;14
01218;LACORZANILLA;BERANTEVILLA;ALAVA;PAIS VASCO;1;14
01218;MIJANCAS;BERANTEVILLA;ALAVA;PAIS VASCO;1;14
01218;SANTURDE;BERANTEVILLA;ALAVA;PAIS VASCO;1;14
01218;TOBERA;BERANTEVILLA;ALAVA;PAIS VASCO;1;14
01218;PORTILLA;ZAMBRANA;ALAVA;PAIS VASCO;1;62
01220;ARMIÑON;ARMIÑÓN;ALAVA;PAIS VASCO;1;6
01220;ESTAVILLO;ARMIÑÓN;ALAVA;PAIS VASCO;1;6
01220;LACERVILLA;BERANTEVILLA;ALAVA;PAIS VASCO;1;14
01220;ANTEZANA DE LA RIBERA;ERRIBERAGOITIA/RIBERA ALTA;ALAVA;PAIS VASCO;1;46
01220;LECIYANA DE LA OCA;ERRIBERAGOITIA/RIBERA ALTA;ALAVA;PAIS VASCO;1;46
01220;MANZANOS;ERRIBERABEITIA;ALAVA;PAIS VASCO;1;47
01220;RIBAGUDA;ERRIBERABEITIA;ALAVA;PAIS VASCO;1;47
01230;IRUÑA DE OCA;IRUÑA OKA/IRUÑA DE OCA;ALAVA;PAIS VASCO;1;901
01230;NANCLARES DE LA OCA;IRUÑA OKA/IRUÑA DE OCA;ALAVA;PAIS VASCO;1;901
01240;ALEGRIA-DULANTZI;ALEGRIA-DULANTZI;ALAVA;PAIS VASCO;1;1
01250;ARAYA;ASPARRENA;ALAVA;PAIS VASCO;1;9
01260;ALBENIZ;ASPARRENA;ALAVA;PAIS VASCO;1;9
01260;AMEZAGA;ASPARRENA;ALAVA;PAIS VASCO;1;9
01260;ANDOIN;ASPARRENA;ALAVA;PAIS VASCO;1;9
01260;ASPARRENA;ASPARRENA;ALAVA;PAIS VASCO;1;9
01260;EGUINO;ASPARRENA;ALAVA;PAIS VASCO;1;9
01260;IBARGUREN;ASPARRENA;ALAVA;PAIS VASCO;1;9
01260;ILARDUYA;ASPARRENA;ALAVA;PAIS VASCO;1;9
01260;URABAIN;ASPARRENA;ALAVA;PAIS VASCO;1;9
01260;EGUILAZ;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01260;MEZQUIA;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01260;MUNAIN;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01260;SAN MILLAN;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01260;SAN ROMAN DE SAN MILLAN;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01260;VICUÑA;SAN MILLÁN/DONEMILIAGA;ALAVA;PAIS VASCO;1;53
01300;EL CAMPILLAR ;LAGUARDIA;ALAVA;PAIS VASCO;1;31
01300;LAGUARDIA;LAGUARDIA;ALAVA;PAIS VASCO;1;31
01306;LAPUEBLA DE LABARCA;LAPUEBLA DE LABARCA;ALAVA;PAIS VASCO;1;33
01307;BAÑOS DE EBRO;BAÑOS DE EBRO/MAÑUETA;ALAVA;PAIS VASCO;1;11
01307;PAGANOS;LAGUARDIA;ALAVA;PAIS VASCO;1;31
01307;LEZA;LEZA;ALAVA;PAIS VASCO;1;34
01307;NAVARIDAS;NAVARIDAS;ALAVA;PAIS VASCO;1;41
01307;SAMANIEGO;SAMANIEGO;ALAVA;PAIS VASCO;1;52
01307;VILLABUENA DE ALAVA;VILLABUENA DE ÁLAVA/ESKUERNAGA;ALAVA;PAIS VASCO;1;57
01308;KRIPAN;KRIPAN;ALAVA;PAIS VASCO;1;19
01308;LANCIEGO;LANCIEGO/LANTZIEGO;ALAVA;PAIS VASCO;1;32
01308;VIYASPRE;LANCIEGO/LANTZIEGO;ALAVA;PAIS VASCO;1;32
01309;ELVILLAR/BILAR;ELVILLAR/BILAR;ALAVA;PAIS VASCO;1;23
01309;LASERNA;LAGUARDIA;ALAVA;PAIS VASCO;1;31
01309;ASSA;LANCIEGO/LANTZIEGO;ALAVA;PAIS VASCO;1;32
01311;YECORA;YECORA/IEKORA;ALAVA;PAIS VASCO;1;60
01312;BARRIOBUSTO;OYÓN-OION;ALAVA;PAIS VASCO;1;43
01313;LABRAZA;OYÓN-OION;ALAVA;PAIS VASCO;1;43
01314;MOREDA DE ALAVA;MOREDA DE ÁLAVA/MOREDA ARABA;ALAVA;PAIS VASCO;1;39
01320;OYÓN-OION;OYÓN-OION;ALAVA;PAIS VASCO;1;43
01330;LABASTIDA;LABASTIDA/BASTIDA;ALAVA;PAIS VASCO;1;28
01339;SALINILLAS DE BURADON;LABASTIDA/BASTIDA;ALAVA;PAIS VASCO;1;28
01340;ELCIEGO;ELCIEGO;ALAVA;PAIS VASCO;1;22
01400;LLODIO;LAUDIO/LLODIO;ALAVA;PAIS VASCO;1;36
01409;IRABIEN;OKONDO;ALAVA;PAIS VASCO;1;42
01409;JANDIOLA;OKONDO;ALAVA;PAIS VASCO;1;42
01409;OKONDO;OKONDO;ALAVA;PAIS VASCO;1;42
01409;SAN ROMAN;OKONDO;ALAVA;PAIS VASCO;1;42
01409;UGALDE;OKONDO;ALAVA;PAIS VASCO;1;42
01409;VILLACHICA;OKONDO;ALAVA;PAIS VASCO;1;42
01409;ZUDIVIARTE;OKONDO;ALAVA;PAIS VASCO;1;42
01420;POBES;ERRIBERAGOITIA/RIBERA ALTA;ALAVA;PAIS VASCO;1;46
01423;ATIEGA;AÑANA;ALAVA;PAIS VASCO;1;49
01423;BACHICABO;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01423;BARRIO;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01423;BELLOJIN;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01423;ESPEJO;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01423;TUESTA;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01423;VILLAMADERNE;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01424;ACEBEDO;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01424;BASABE;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01424;LAHOZ;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01424;LALASTRA;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01424;PINEDO;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01424;RIBERA;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01424;VALDEGOVIA;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01424;VILLAMARDONES;VALDEGOVIA/GAUBEA;ALAVA;PAIS VASCO;1;55
01424;ARROYO DE SAN ZADORNIL;JURISDICCIÓN DE SAN ZADORNIL;BURGOS;CASTILLA Y LEON;9;192
01424;JURISDICCION DE SAN ZADORNIL;JURISDICCIÓN DE SAN ZADORNIL;BURGOS;CASTILLA Y LEON;9;192
01424;SAN MILLAN DE SAN ZADORNIL;JURISDICCIÓN DE SAN ZADORNIL;BURGOS;CASTILLA Y LEON;9;192
